date,equity,qx,qy,gross,net
2020-01-02,100000.0,0,0,0.0,0.0
2020-01-03,100000.0,0,0,0.0,0.0
2020-01-06,99991.83163356186,438,-336,19980.840213775635,-165.71947860717773
2020-01-07,99967.78316128896,438,-336,19977.780143737793,-188.94001007080078
2020-01-08,100033.97425509623,438,-336,20024.639545440674,-121.92014694213867
2020-01-09,100020.7260300157,438,-336,20045.820030212402,-134.3404312133789
2020-01-10,100079.17722974574,438,-336,20091.660243988037,-75.05990982055664
2020-01-13,100101.7711067181,438,-336,20224.260326385498,-49.9797248840332
2020-01-14,100147.30458378463,0,0,0.0,0.0
2020-01-15,100147.30458378463,0,0,0.0,0.0
2020-01-16,100147.30458378463,0,0,0.0,0.0
2020-01-17,100147.30458378463,0,0,0.0,0.0
2020-01-21,100147.30458378463,0,0,0.0,0.0
2020-01-22,100147.30458378463,0,0,0.0,0.0
2020-01-23,100147.30458378463,0,0,0.0,0.0
2020-01-24,100147.30458378463,0,0,0.0,0.0
2020-01-27,100147.30458378463,0,0,0.0,0.0
2020-01-28,100147.30458378463,0,0,0.0,0.0
2020-01-29,100147.30458378463,0,0,0.0,0.0
2020-01-30,100147.30458378463,0,0,0.0,0.0
2020-01-31,100147.30458378463,0,0,0.0,0.0
2020-02-03,100139.08717176643,444,-340,19976.440048217773,-165.1605224609375
2020-02-04,100178.82021814291,444,-340,20282.20041656494,-124.59973907470703
2020-02-05,100165.34154498346,444,-340,20419.159912109375,-137.23977661132812
2020-02-06,100134.65588008695,444,-340,20484.519912719727,-167.08065795898438
2020-02-07,100086.64819522045,444,-340,20274.159782409668,-214.2396469116211
2020-02-10,100085.6420645933,444,-340,20343.679878234863,-212.71981048583984
2020-02-11,100087.83695389601,444,-340,20482.720069885254,-209.68013763427734
2020-02-12,100154.54688401912,444,-340,20672.68058013916,-142.11983489990052
2020-02-13,100133.3712145387,444,-340,20577.559898376465,-162.44010162353516
2020-02-14,100121.75844113046,444,-340,20641.599868774414,-173.20054626464662
2020-02-18,100109.51493989686,0,0,0.0,0.0
2020-02-19,100109.51493989686,0,0,0.0,0.0
2020-02-20,100101.42272410763,430,-329,19969.059957504272,-257.8598918914795
2020-02-21,100059.38155040622,430,-329,19855.469625473022,-299.06982231140137
2020-02-24,99873.386738222,430,-329,19204.780221939087,-482.5798282623291
2020-02-25,99938.70212603828,0,0,0.0,0.0
2020-02-26,99930.35647598915,460,-351,19926.400245666504,-431.5997543334961
2020-02-27,100064.56016720226,460,-351,19331.359924316406,-296.55943298339844
2020-02-28,99931.42330585177,460,-351,18939.290439605713,-428.8896675109863
2020-03-02,99863.45512385738,460,-351,19280.87006187439,-494.46999168395996
2020-03-03,99889.9821412559,460,-351,19069.52965736389,-467.1302890777588
2020-03-04,99963.16971091044,460,-351,19501.54026412964,-393.13984298706055
2020-03-05,99836.19202800951,460,-351,19066.499795913696,-519.2999362945557
2020-03-06,99871.18765207333,460,-351,18681.100048065186,-483.49941635131836
2020-03-09,99982.31460881143,460,-351,16414.810192108154,-370.0097007751465
2020-03-10,100464.5347681342,460,-351,17311.900245666504,112.9002456665039
2020-03-11,100154.56091441827,0,0,0.0,0.0
2020-03-12,100154.56091441827,0,0,0.0,0.0
2020-03-13,100154.56091441827,0,0,0.0,0.0
2020-03-16,100154.56091441827,0,0,0.0,0.0
2020-03-17,100144.47381842446,658,-500,20018.48000907898,458.4805431365967
2020-03-18,99393.2208108573,0,0,0.0,0.0
2020-03-19,99393.2208108573,0,0,0.0,0.0
2020-03-20,99393.2208108573,0,0,0.0,0.0
2020-03-23,99382.28565045395,757,-575,19853.48954963684,-444.0100116729718
2020-03-24,99264.69173433565,757,-575,22347.230303764343,-560.7697839736938
2020-03-25,99050.94996425367,757,-575,23468.42978286743,-773.5701293945312
2020-03-26,99169.78368327336,757,-575,24393.260625839233,-653.7401638031024
2020-03-27,98919.49460601492,757,-575,22855.999912261963,-902.9999122619629
2020-03-30,99546.56585294592,757,-575,24118.499473571777,-272.99947357177734
2020-03-31,99006.71426849042,0,0,0.0,0.0
2020-04-01,98996.8132964585,642,-487,19761.150592803955,-488.31029891967773
2020-04-02,99131.92153553947,642,-487,20267.21018409729,-352.3698902130127
2020-04-03,98772.43388530327,642,-487,19752.73006248474,-711.0101604461652
2020-04-06,99041.58088411616,642,-487,21086.060136795044,-439.3402347564697
2020-04-07,98673.87647538353,642,-487,20875.080184936523,-806.1600379943848
2020-04-08,98522.68576191334,642,-487,21192.300035476685,-956.4597415924072
2020-04-09,98885.51503895457,642,-487,21945.639163970947,-592.7202415466327
2020-04-13,98814.06977723415,642,-487,21936.340175628662,-660.4605674743652
2020-04-14,99071.94128006068,642,-487,22409.41964530945,-401.6604290008545
2020-04-15,98931.06359183176,642,-487,21470.799695968628,-541.6006755828857
2020-04-16,99068.44553354432,0,0,0.0,0.0
2020-04-17,99068.44553354432,0,0,0.0,0.0
2020-04-20,99068.44553354432,0,0,0.0,0.0
2020-04-21,99058.83319156854,609,-460,19784.899894714355,-905.8998947143555
2020-04-22,99234.39289411204,609,-460,20448.910535812378,-729.4898853302002
2020-04-23,99131.22224638377,609,-460,20429.410373687744,-831.7901878356915
2020-04-24,99187.22866351558,609,-460,20762.289836883545,-774.9100227355957
2020-04-27,99126.97413769185,609,-460,21063.490020751953,-832.50927734375
2020-04-28,98978.87356510475,609,-460,21210.690757751465,-979.7100143432617
2020-04-29,98845.33099270388,609,-460,21988.859909057617,-1112.3406524658185
2020-04-30,99165.28252246228,609,-460,21546.160873413086,-791.4397583007812
2020-05-01,98895.1147277022,609,-460,20780.110219955444,-1060.6895694732666
2020-05-04,99016.55169173305,609,-460,21106.639253616333,-936.5599040985107
2020-05-05,99024.97874858831,0,0,0.0,0.0
2020-05-06,99015.66963815283,576,-432,19794.240142822266,-889.9203186035156
2020-05-07,99083.94036221791,576,-432,20036.159912109375,-820.7995605468768
2020-05-08,99039.88306210219,576,-432,20355.839813232422,-863.9997253417969
2020-05-11,99031.5065110074,576,-432,20419.199340820312,-869.7601318359393
2020-05-12,99000.39147943968,576,-432,19965.599395751953,-900.0002746582031
2020-05-13,99232.81383523368,576,-432,19663.200164794922,-666.7204284667969
2020-05-14,99197.41921597852,576,-432,19732.320098876953,-701.2795715332031
2020-05-15,99242.65916040224,576,-432,19847.51971435547,-655.1998901367188
2020-05-18,99286.21083458654,576,-432,20653.920043945312,-609.1204833984357
2020-05-19,99220.53717579815,576,-432,20407.67935180664,-673.9203186035156
2020-05-20,99382.96134474798,0,0,0.0,0.0
2020-05-21,99382.96134474798,0,0,0.0,0.0
2020-05-22,99382.96134474798,0,0,0.0,0.0
2020-05-26,99382.96134474798,0,0,0.0,0.0
2020-05-27,99382.96134474798,0,0,0.0,0.0
2020-05-28,99382.96134474798,0,0,0.0,0.0
2020-05-29,99382.96134474798,0,0,0.0,0.0
2020-06-01,99382.96134474798,0,0,0.0,0.0
2020-06-02,99382.96134474798,0,0,0.0,0.0
2020-06-03,99382.96134474798,0,0,0.0,0.0
2020-06-04,99374.30094712561,-504,375,19831.62005996704,-106.62063217163086
2020-06-05,99341.32255362297,-504,375,20343.780046463013,-138.7796459197998
2020-06-08,99294.93728685378,-504,375,20642.64018058777,-182.6396656036377
2020-06-09,99374.27158939125,-504,375,20359.949701309204,-102.44952964782715
2020-06-10,99282.14072517984,-504,375,20278.739988327026,-193.7394733428955
2020-06-11,99439.6385856589,-504,375,18965.400106430054,-35.400278091430664
2020-06-12,99427.45773885945,-504,375,19306.800498962402,-46.800270080566406
2020-06-15,99377.51565171148,-504,375,19285.470010757446,-47.97029685974121
2020-06-16,99392.17150327795,-504,375,19502.519233703613,-32.519920349121094
2020-06-17,99335.23859319945,-504,375,19416.15036392212,-88.65002059936523
2020-06-18,99395.02455724512,0,0,0.0,0.0
2020-06-19,99395.02455724512,0,0,0.0,0.0
2020-06-22,99395.02455724512,0,0,0.0,0.0
2020-06-23,99395.02455724512,0,0,0.0,0.0
2020-06-24,99395.02455724512,0,0,0.0,0.0
2020-06-25,99395.02455724512,0,0,0.0,0.0
2020-06-26,99395.02455724512,0,0,0.0,0.0
2020-06-29,99395.02455724512,0,0,0.0,0.0
2020-06-30,99395.02455724512,0,0,0.0,0.0
2020-07-01,99395.02455724512,0,0,0.0,0.0
2020-07-02,99395.02455724512,0,0,0.0,0.0
2020-07-06,99386.3436642694,-506,375,19872.849849700928,-215.35053634643555
2020-07-07,99443.56870085883,-506,375,19627.299270629883,-157.29995727539062
2020-07-08,99496.20542799907,-506,375,19731.35022163391,-103.85016441345215
2020-07-09,99490.2803813495,-506,375,19533.95977973938,-108.9600658416748
2020-07-10,99483.15374300287,-506,375,19750.27968978882,-115.27946090698242
2020-07-13,99562.38400402213,-506,375,19548.60036468506,-33.60002136230469
2020-07-14,99602.33975792263,-506,375,19882.839862823486,7.160480499265759
2020-07-15,99526.44248004942,-506,375,20242.919702529907,-67.91998863220215
2020-07-16,99600.91804687267,-506,375,20055.109729766846,7.390270233154297
2020-07-17,99593.18354444036,-506,375,20159.519723892212,0.4796466827392578
2020-07-20,99605.20618811571,0,0,0.0,0.0
2020-07-21,99605.20618811571,0,0,0.0,0.0
2020-07-22,99605.20618811571,0,0,0.0,0.0
2020-07-23,99605.20618811571,0,0,0.0,0.0
2020-07-24,99605.20618811571,0,0,0.0,0.0
2020-07-27,99605.20618811571,0,0,0.0,0.0
2020-07-28,99605.20618811571,0,0,0.0,0.0
2020-07-29,99605.20618811571,0,0,0.0,0.0
2020-07-30,99605.20618811571,0,0,0.0,0.0
2020-07-31,99605.20618811571,0,0,0.0,0.0
2020-08-03,99605.20618811571,0,0,0.0,0.0
2020-08-04,99605.20618811571,0,0,0.0,0.0
2020-08-05,99605.20618811571,0,0,0.0,0.0
2020-08-06,99605.20618811571,0,0,0.0,0.0
2020-08-07,99605.20618811571,0,0,0.0,0.0
2020-08-10,99605.20618811571,0,0,0.0,0.0
2020-08-11,99605.20618811571,0,0,0.0,0.0
2020-08-12,99605.20618811571,0,0,0.0,0.0
2020-08-13,99605.20618811571,0,0,0.0,0.0
2020-08-14,99605.20618811571,0,0,0.0,0.0
2020-08-17,99605.20618811571,0,0,0.0,0.0
2020-08-18,99605.20618811571,0,0,0.0,0.0
2020-08-19,99605.20618811571,0,0,0.0,0.0
2020-08-20,99605.20618811571,0,0,0.0,0.0
2020-08-21,99605.20618811571,0,0,0.0,0.0
2020-08-24,99605.20618811571,0,0,0.0,0.0
2020-08-25,99605.20618811571,0,0,0.0,0.0
2020-08-26,99605.20618811571,0,0,0.0,0.0
2020-08-27,99605.20618811571,0,0,0.0,0.0
2020-08-28,99605.20618811571,0,0,0.0,0.0
2020-08-31,99605.20618811571,0,0,0.0,0.0
2020-09-01,99605.20618811571,0,0,0.0,0.0
2020-09-02,99605.20618811571,0,0,0.0,0.0
2020-09-03,99605.20618811571,0,0,0.0,0.0
2020-09-04,99605.20618811571,0,0,0.0,0.0
2020-09-08,99605.20618811571,0,0,0.0,0.0
2020-09-09,99605.20618811571,0,0,0.0,0.0
2020-09-10,99605.20618811571,0,0,0.0,0.0
2020-09-11,99605.20618811571,0,0,0.0,0.0
2020-09-14,99605.20618811571,0,0,0.0,0.0
2020-09-15,99605.20618811571,0,0,0.0,0.0
2020-09-16,99605.20618811571,0,0,0.0,0.0
2020-09-17,99605.20618811571,0,0,0.0,0.0
2020-09-18,99605.20618811571,0,0,0.0,0.0
2020-09-21,99605.20618811571,0,0,0.0,0.0
2020-09-22,99605.20618811571,0,0,0.0,0.0
2020-09-23,99605.20618811571,0,0,0.0,0.0
2020-09-24,99605.20618811571,0,0,0.0,0.0
2020-09-25,99605.20618811571,0,0,0.0,0.0
2020-09-28,99605.20618811571,0,0,0.0,0.0
2020-09-29,99605.20618811571,0,0,0.0,0.0
2020-09-30,99605.20618811571,0,0,0.0,0.0
2020-10-01,99605.20618811571,0,0,0.0,0.0
2020-10-02,99605.20618811571,0,0,0.0,0.0
2020-10-05,99605.20618811571,0,0,0.0,0.0
2020-10-06,99605.20618811571,0,0,0.0,0.0
2020-10-07,99605.20618811571,0,0,0.0,0.0
2020-10-08,99605.20618811571,0,0,0.0,0.0
2020-10-09,99605.20618811571,0,0,0.0,0.0
2020-10-12,99605.20618811571,0,0,0.0,0.0
2020-10-13,99605.20618811571,0,0,0.0,0.0
2020-10-14,99605.20618811571,0,0,0.0,0.0
2020-10-15,99605.20618811571,0,0,0.0,0.0
2020-10-16,99605.20618811571,0,0,0.0,0.0
2020-10-19,99605.20618811571,0,0,0.0,0.0
2020-10-20,99605.20618811571,0,0,0.0,0.0
2020-10-21,99605.20618811571,0,0,0.0,0.0
2020-10-22,99605.20618811571,0,0,0.0,0.0
2020-10-23,99605.20618811571,0,0,0.0,0.0
2020-10-26,99605.20618811571,0,0,0.0,0.0
2020-10-27,99605.20618811571,0,0,0.0,0.0
2020-10-28,99605.20618811571,0,0,0.0,0.0
2020-10-29,99605.20618811571,0,0,0.0,0.0
2020-10-30,99605.20618811571,0,0,0.0,0.0
2020-11-02,99605.20618811571,0,0,0.0,0.0
2020-11-03,99605.20618811571,0,0,0.0,0.0
2020-11-04,99596.68881089342,-488,359,19909.090061187744,-128.19060897827148
2020-11-05,99509.43535116095,-488,359,20476.580125808716,-214.62061882019043
2020-11-06,99485.47542968289,-488,359,20492.509559631348,-237.73021697998047
2020-11-09,99230.95976396052,-488,359,21060.389825820923,-489.6900997161865
2020-11-10,99351.40393626026,-488,359,21132.920362472534,-368.36030769348145
2020-11-11,99275.92096819586,-488,359,21351.120264053345,-442.95966148376465
2020-11-12,99311.25492007466,-488,359,20977.429788589478,-406.7300624847412
2020-11-13,99223.99624952383,-488,359,21164.330589294434,-493.1099319458008
2020-11-16,99246.96567094754,-488,359,21512.050031661987,-467.47041511535645
2020-11-17,99276.8033526147,-488,359,21581.830013275146,-436.72946548461914
2020-11-18,99223.67330762968,0,0,0.0,0.0
2020-11-19,99215.53337962131,-445,329,19830.410026550293,-425.990177154541
2020-11-20,99239.6717175888,-445,329,19890.97993659973,-401.0193843841553
2020-11-23,99295.2294105827,-445,329,19957.939586639404,-342.9599380493164
2020-11-24,99198.47510789082,-445,329,20396.01990699768,-438.8799571990967
2020-11-25,99211.7485750216,-445,329,20427.950010299683,-424.7502613067627
2020-11-27,99300.78525526615,-445,329,20402.999660491943,-333.99966049194336
2020-11-30,99483.94883086707,-445,329,20072.51992034912,-148.27946853637695
2020-12-01,99338.79752470402,-445,329,20328.700284957886,-292.5997829437256
2020-12-02,99366.98970490618,-445,329,20437.840051651,-263.560152053833
2020-12-03,99386.27901713482,-445,329,20555.88064956665,-243.42009735107422
2020-12-04,99442.71530692202,0,0,0.0,0.0
2020-12-07,99442.71530692202,0,0,0.0,0.0
2020-12-08,99442.71530692202,0,0,0.0,0.0
2020-12-09,99442.71530692202,0,0,0.0,0.0
2020-12-10,99442.71530692202,0,0,0.0,0.0
2020-12-11,99442.71530692202,0,0,0.0,0.0
2020-12-14,99442.71530692202,0,0,0.0,0.0
2020-12-15,99442.71530692202,0,0,0.0,0.0
2020-12-16,99442.71530692202,0,0,0.0,0.0
2020-12-17,99434.80751363917,-416,311,19848.270357131958,-361.010404586792
2020-12-18,99449.92735268884,-416,311,19614.619762420654,-345.0600471496582
2020-12-21,99454.97693477904,-416,311,19464.049682617188,-337.5496826171875
2020-12-22,99504.12272700116,-416,311,19389.20955657959,-287.59012603759766
2020-12-23,99452.14411420966,-416,311,19571.000150680542,-338.760103225708
2020-12-24,99490.70561984998,-416,311,19618.70005607605,-299.3803882598877
2020-12-28,99376.36223912521,-416,311,19599.149801254272,-410.44956398010254
2020-12-29,99437.85996657168,-416,311,19586.589714050293,-348.12952423095703
2020-12-30,99420.27995501472,-416,311,19677.989826202393,-364.8903007507324
2020-12-31,99412.38630583226,-416,311,19554.440364837646,-371.9602699279785
2021-01-04,99399.08344920521,0,0,0.0,0.0
2021-01-05,99399.08344920521,0,0,0.0,0.0
2021-01-06,99399.08344920521,0,0,0.0,0.0
2021-01-07,99399.08344920521,0,0,0.0,0.0
2021-01-08,99399.08344920521,0,0,0.0,0.0
2021-01-11,99399.08344920521,0,0,0.0,0.0
2021-01-12,99399.08344920521,0,0,0.0,0.0
2021-01-13,99399.08344920521,0,0,0.0,0.0
2021-01-14,99399.08344920521,0,0,0.0,0.0
2021-01-15,99399.08344920521,0,0,0.0,0.0
2021-01-19,99399.08344920521,0,0,0.0,0.0
2021-01-20,99399.08344920521,0,0,0.0,0.0
2021-01-21,99399.08344920521,0,0,0.0,0.0
2021-01-22,99399.08344920521,0,0,0.0,0.0
2021-01-25,99391.25968627587,-405,306,19826.27967453003,-407.5199546813965
2021-01-26,99348.66837175052,-405,306,19800.72025680542,-449.2797431945801
2021-01-27,99370.24634957114,-405,306,19264.22999382019,-426.86957359313965
2021-01-28,99410.74669852109,-405,306,19443.239627838135,-385.5600013732892
2021-01-29,99540.34193444757,-405,306,18982.350116729736,-255.14988327026367
2021-02-01,99475.96029636222,-405,306,19252.440101623535,-317.15977478027344
2021-02-02,99521.95614176131,-405,306,19542.239559173584,-270.3596992492676
2021-02-03,99514.30195762578,-405,306,19616.3999004364,-277.1996669769287
2021-02-04,99554.25417829196,-405,306,19649.069480895996,-236.42990112304688
2021-02-05,99546.05736355633,-405,306,19852.290063858032,-243.80950355529785
2021-02-08,99591.33535362386,0,0,0.0,0.0
2021-02-09,99591.33535362386,0,0,0.0,0.0
2021-02-10,99591.33535362386,0,0,0.0,0.0
2021-02-11,99591.33535362386,0,0,0.0,0.0
2021-02-12,99591.33535362386,0,0,0.0,0.0
2021-02-16,99591.33535362386,0,0,0.0,0.0
2021-02-17,99591.33535362386,0,0,0.0,0.0
2021-02-18,99591.33535362386,0,0,0.0,0.0
2021-02-19,99591.33535362386,0,0,0.0,0.0
2021-02-22,99591.33535362386,0,0,0.0,0.0
2021-02-23,99591.33535362386,0,0,0.0,0.0
2021-02-24,99591.33535362386,0,0,0.0,0.0
2021-02-25,99591.33535362386,0,0,0.0,0.0
2021-02-26,99591.33535362386,0,0,0.0,0.0
2021-03-01,99591.33535362386,0,0,0.0,0.0
2021-03-02,99591.33535362386,0,0,0.0,0.0
2021-03-03,99591.33535362386,0,0,0.0,0.0
2021-03-04,99591.33535362386,0,0,0.0,0.0
2021-03-05,99591.33535362386,0,0,0.0,0.0
2021-03-08,99591.33535362386,0,0,0.0,0.0
2021-03-09,99583.61358356405,392,-298,19861.400299072266,-104.59970092773438
2021-03-10,99432.87226376073,392,-298,19854.520500183105,-254.52050018310547
2021-03-11,99342.62630152205,392,-298,20092.900482177734,-343.9400634765625
2021-03-12,99265.56639199496,392,-298,20129.919624328613,-420.16010284423646
2021-03-15,99228.83242684498,392,-298,20226.839958190918,-454.3604965209961
2021-03-16,99227.20267593552,392,-298,20196.26057434082,-455.1403350830078
2021-03-17,99159.53455310728,392,-298,20302.279411315918,-521.9597702026367
2021-03-18,99150.0990734301,392,-298,19965.900177001953,-530.5394592285156
2021-03-19,99103.15587813851,392,-298,19925.76057434082,-576.6403350830078
2021-03-22,99218.86825903342,392,-298,19948.640739440918,-458.4002609252948
2021-03-23,99202.06790951353,0,0,0.0,0.0
2021-03-24,99194.33069719923,395,-299,19817.440544128418,-430.8398208618164
2021-03-25,99249.97779171029,395,-299,19832.059942245483,-374.36060523986816
2021-03-26,99316.37801411112,395,-299,20096.62937927246,-307.1299819946289
2021-03-29,99288.35226446844,395,-299,20035.240621566772,-332.6401996612549
2021-03-30,99246.42579460026,395,-299,19910.429271697998,-373.7296333312988
2021-03-31,99230.42242211231,395,-299,19973.000133514404,-388.89941024780273
2021-04-01,99187.47489296584,395,-299,20283.70948600769,-431.0101490020752
2021-04-05,99287.39965529619,395,-299,20464.780046463013,-327.6802272796631
2021-04-06,99208.72507937984,395,-299,20345.10013771057,-405.5003185272217
2021-04-07,99235.5221944331,395,-299,20372.750017166138,-377.8504390716553
2021-04-08,99216.2044961248,0,0,0.0,0.0
2021-04-09,99208.60490141007,381,-287,19788.21008682251,-341.9697380065918
2021-04-12,99210.08282093689,381,-287,19723.290422439575,-338.0100154876709
2021-04-13,99213.85758322764,381,-287,19802.510234832764,-333.41081619262695
2021-04-14,99289.23037030273,381,-287,19878.710525512695,-257.2105255126953
2021-04-15,99408.14343676624,381,-287,20124.729606628418,-137.46995544433594
2021-04-16,99395.7804797328,381,-287,20159.12039375305,-149.00021934509277
2021-04-19,99418.36694498154,381,-287,20034.969373703003,-123.91001319885254
2021-04-20,99410.71832271255,381,-287,19660.7895488739,-130.73018836975098
2021-04-21,99421.57543805572,381,-287,19999.639839172363,-119.05972290039062
2021-04-22,99421.98848173713,381,-287,19868.859941482544,-117.81988334655762
2021-04-23,99475.16712470788,0,0,0.0,0.0
2021-04-26,99475.16712470788,0,0,0.0,0.0
2021-04-27,99475.16712470788,0,0,0.0,0.0
2021-04-28,99475.16712470788,0,0,0.0,0.0
2021-04-29,99475.16712470788,0,0,0.0,0.0
2021-04-30,99475.16712470788,0,0,0.0,0.0
2021-05-03,99475.16712470788,0,0,0.0,0.0
2021-05-04,99475.16712470788,0,0,0.0,0.0
2021-05-05,99475.16712470788,0,0,0.0,0.0
2021-05-06,99475.16712470788,0,0,0.0,0.0
2021-05-07,99475.16712470788,0,0,0.0,0.0
2021-05-10,99475.16712470788,0,0,0.0,0.0
2021-05-11,99475.16712470788,0,0,0.0,0.0
2021-05-12,99475.16712470788,0,0,0.0,0.0
2021-05-13,99475.16712470788,0,0,0.0,0.0
2021-05-14,99475.16712470788,0,0,0.0,0.0
2021-05-17,99467.71111463841,365,-273,19807.119903564453,-498.61934661865234
2021-05-18,99421.29628514232,365,-273,19794.30030632019,-544.1996936798096
2021-05-19,99348.10967779548,365,-273,19530.85036087036,-616.5504722595215
2021-05-20,99457.11246718929,365,-273,19880.920375823975,-506.7197074890137
2021-05-21,99382.32379804384,365,-273,19779.669971466064,-580.6705284118652
2021-05-24,99369.99356407017,365,-273,19928.19041633606,-590.4905834197998
2021-05-25,99459.3001356734,365,-273,19881.84022140503,-500.3407783508301
2021-05-26,99418.46367909406,365,-273,19951.039722442627,-540.3396110534668
2021-05-27,99395.93072021774,365,-273,20082.230291366577,-562.0304584503174
2021-05-28,99378.70299244426,365,-273,20098.60962486267,-578.4097919464111
2021-06-01,99340.59695836806,0,0,0.0,0.0
2021-06-02,99333.21065723356,358,-265,19837.260623931885,-419.3400230407715
2021-06-03,99336.83865104141,358,-265,19703.91994857788,-414.87956619262695
2021-06-04,99427.28135942317,358,-265,19927.689456939697,-323.61005783081055
2021-06-07,99404.2343308978,358,-265,19912.440296173096,-344.16035079956055
2021-06-08,99430.97300433212,358,-265,19913.509815216064,-316.5892143249512
2021-06-09,99382.1110632302,358,-265,19775.38021850586,-364.61978149414244
2021-06-10,99452.7965384817,358,-265,19705.12979888916,-365.9696350097656
2021-06-11,99458.0613327206,358,-265,19684.71983718872,-359.88000106811523
2021-06-14,99432.01936382783,358,-265,19751.250171661377,-383.4507179260254
2021-06-15,99408.92258892496,358,-265,19744.88020324707,-405.7200393676758
2021-06-16,99426.70434526041,0,0,0.0,0.0
2021-06-17,99426.70434526041,0,0,0.0,0.0
2021-06-18,99426.70434526041,0,0,0.0,0.0
2021-06-21,99426.70434526041,0,0,0.0,0.0
2021-06-22,99426.70434526041,0,0,0.0,0.0
2021-06-23,99426.70434526041,0,0,0.0,0.0
2021-06-24,99426.70434526041,0,0,0.0,0.0
2021-06-25,99426.70434526041,0,0,0.0,0.0
2021-06-28,99426.70434526041,0,0,0.0,0.0
2021-06-29,99426.70434526041,0,0,0.0,0.0
2021-06-30,99426.70434526041,0,0,0.0,0.0
2021-07-01,99426.70434526041,0,0,0.0,0.0
2021-07-02,99419.22219222238,371,-270,19861.750146865845,-458.45042991638184
2021-07-06,99364.33199094537,371,-270,19653.599758148193,-510.0003242492676
2021-07-07,99502.4838929827,371,-270,19722.379724502563,-371.0197811126709
2021-07-08,99496.35794877405,371,-270,19430.880195617676,-376.3199691772461
2021-07-09,99502.18468796561,371,-270,19750.719858169556,-369.679235458374
2021-07-12,99487.5632979704,371,-270,19733.179971694946,-381.8200283050537
2021-07-13,99463.48650726893,371,-270,19645.130401611328,-405.07017517089844
2021-07-14,99556.46345072445,371,-270,19625.529760360718,-311.269250869751
2021-07-15,99498.70424165046,0,0,0.0,0.0
2021-07-16,99498.70424165046,0,0,0.0,0.0
2021-07-19,99498.70424165046,0,0,0.0,0.0
2021-07-20,99498.70424165046,0,0,0.0,0.0
2021-07-21,99498.70424165046,0,0,0.0,0.0
2021-07-22,99498.70424165046,0,0,0.0,0.0
2021-07-23,99498.70424165046,0,0,0.0,0.0
2021-07-26,99498.70424165046,0,0,0.0,0.0
2021-07-27,99498.70424165046,0,0,0.0,0.0
2021-07-28,99498.70424165046,0,0,0.0,0.0
2021-07-29,99498.70424165046,0,0,0.0,0.0
2021-07-30,99498.70424165046,0,0,0.0,0.0
2021-08-02,99498.70424165046,0,0,0.0,0.0
2021-08-03,99498.70424165046,0,0,0.0,0.0
2021-08-04,99498.70424165046,0,0,0.0,0.0
2021-08-05,99498.70424165046,0,0,0.0,0.0
2021-08-06,99498.70424165046,0,0,0.0,0.0
2021-08-09,99498.70424165046,0,0,0.0,0.0
2021-08-10,99498.70424165046,0,0,0.0,0.0
2021-08-11,99498.70424165046,0,0,0.0,0.0
2021-08-12,99498.70424165046,0,0,0.0,0.0
2021-08-13,99498.70424165046,0,0,0.0,0.0
2021-08-16,99498.70424165046,0,0,0.0,0.0
2021-08-17,99498.70424165046,0,0,0.0,0.0
2021-08-18,99498.70424165046,0,0,0.0,0.0
2021-08-19,99498.70424165046,0,0,0.0,0.0
2021-08-20,99498.70424165046,0,0,0.0,0.0
2021-08-23,99498.70424165046,0,0,0.0,0.0
2021-08-24,99498.70424165046,0,0,0.0,0.0
2021-08-25,99498.70424165046,0,0,0.0,0.0
2021-08-26,99498.70424165046,0,0,0.0,0.0
